# wavelength[angstrom]  transmittance
 3701.5  0.0126
 3705.5  0.0115
 3709.6  0.0099
 3713.6  0.0109
 3717.6  0.0111
 3721.6  0.0091
 3725.7  0.0095
 3729.7  0.0094
 3733.7  0.0082
 3737.8  0.0084
 3741.8  0.0074
 3745.8  0.0069
 3749.9  0.0068
 3753.9  0.0064
 3757.9  0.0068
 3762.0  0.0062
 3766.0  0.0061
 3770.0  0.0062
 3774.1  0.0059
 3778.1  0.0055
 3782.1  0.0052
 3786.2  0.0050
 3790.2  0.0046
 3794.2  0.0047
 3798.3  0.0050
 3802.3  0.0047
 3806.4  0.0042
 3810.4  0.0041
 3814.4  0.0039
 3818.5  0.0042
 3822.5  0.0041
 3826.6  0.0043
 3830.6  0.0040
 3834.7  0.0043
 3838.7  0.0051
 3842.7  0.0057
 3846.8  0.0069
 3850.8  0.0086
 3854.9  0.0102
 3858.9  0.0118
 3863.0  0.0152
 3867.0  0.0206
 3871.1  0.0285
 3875.1  0.0412
 3879.2  0.0618
 3883.2  0.0917
 3887.2  0.1298
 3891.3  0.1763
 3895.3  0.2362
 3899.4  0.3098
 3903.4  0.3891
 3907.5  0.4675
 3911.5  0.5408
 3915.6  0.6086
 3919.7  0.6774
 3923.7  0.7302
 3927.8  0.7566
 3931.8  0.7669
 3935.9  0.7770
 3939.9  0.7969
 3944.0  0.8211
 3948.0  0.8302
 3952.1  0.8291
 3956.1  0.8416
 3960.2  0.8613
 3964.3  0.8634
 3968.3  0.8460
 3972.4  0.8293
 3976.4  0.8079
 3980.5  0.7619
 3984.6  0.7061
 3988.6  0.6459
 3992.7  0.5760
 3996.7  0.5019
 4000.8  0.4272
 4004.9  0.3571
 4008.9  0.2929
 4013.0  0.2374
 4017.1  0.1936
 4021.1  0.1583
 4025.2  0.1293
 4029.2  0.1032
 4033.3  0.0779
 4037.4  0.0551
 4041.4  0.0369
 4045.5  0.0241
 4049.6  0.0163
 4053.6  0.0121
 4057.7  0.0098
 4061.8  0.0085
 4065.9  0.0074
 4069.9  0.0062
 4074.0  0.0050
 4078.1  0.0039
 4082.1  0.0033
 4086.2  0.0028
 4090.3  0.0027
 4094.4  0.0026
 4098.4  0.0025
 4102.5  0.0024
 4106.6  0.0024
 4110.6  0.0024
 4114.7  0.0024
 4118.8  0.0024
 4122.9  0.0026
 4127.0  0.0025
 4131.0  0.0023
 4135.1  0.0023
 4139.2  0.0026
 4143.3  0.0027
 4147.3  0.0024
 4151.4  0.0025
 4155.5  0.0027
 4159.6  0.0025
 4163.7  0.0025
 4167.7  0.0024
 4171.8  0.0025
 4175.9  0.0026
 4180.0  0.0025
 4184.1  0.0025
 4188.2  0.0028
 4192.2  0.0028
 4196.3  0.0027
