# wavelength[angstrom]  transmittance
3802.3  0.0026
3806.4  0.0034
3810.4  0.0029
3814.4  0.0013
3818.5  0.0013
3822.5  0.0014
3826.6  0.0016
3830.6  0.0019
3834.7  0.0021
3838.7  0.0023
3842.7  0.0020
3846.8  0.0021
3850.8  0.0018
3854.9  0.0018
3858.9  0.0020
3863.0  0.0024
3867.0  0.0018
3871.1  0.0010
3875.1  0.0015
3879.2  0.0015
3883.2  0.0015
3887.2  0.0018
3891.3  0.0027
3895.3  0.0032
3899.4  0.0031
3903.4  0.0034
3907.5  0.0035
3911.5  0.0038
3915.6  0.0055
3919.7  0.0102
3923.7  0.0208
3927.8  0.0410
3931.8  0.0753
3935.9  0.1280
3939.9  0.1990
3944.0  0.2842
3948.0  0.3757
3952.1  0.4669
3956.1  0.5592
3960.2  0.6459
3964.3  0.7164
3968.3  0.7611
3972.4  0.7856
3976.4  0.8061
3980.5  0.8200
3984.6  0.8184
3988.6  0.8036
3992.7  0.7876
3996.7  0.7765
4000.8  0.7672
4004.9  0.7528
4008.9  0.7435
4013.0  0.7434
4017.1  0.7455
4021.1  0.7417
4025.2  0.7234
4029.2  0.6896
4033.3  0.6404
4037.4  0.5726
4041.4  0.4881
4045.5  0.3967
4049.6  0.3068
4053.6  0.2240
4057.7  0.1535
4061.8  0.0990
4065.9  0.0601
4069.9  0.0342
4074.0  0.0190
4078.1  0.0112
4082.1  0.0071
4086.2  0.0049
4090.3  0.0039
4094.4  0.0035
4098.4  0.0035
4102.5  0.0036
4106.6  0.0032
4110.6  0.0025
4114.7  0.0021
4118.8  0.0017
4122.9  0.0018
4127.0  0.0020
4131.0  0.0020
4135.1  0.0021
4139.2  0.0017
4143.3  0.0010
4147.3  0.0009
4151.4  0.0011
4155.5  0.0009
4159.6  0.0008
4163.7  0.0013
4167.7  0.0020
4171.8  0.0021
4175.9  0.0012
4180.0  0.0008
4184.1  0.0013
4188.2  0.0013
4192.2  0.0007
4196.3  0.0013
